Gen	Pop	Mean	Max	Min
0  	100   	-12.6	-8 	-13
1  	100   	-12.6	-8 	-13
2  	100   	-12.65	-8 	-13
3  	100   	-12.8 	-8 	-13
4  	100   	-12.45	-3 	-13
5  	100   	-12.5 	-8 	-13
6  	100   	-12.75	-8 	-13
7  	100   	-12.4 	-3 	-13
8  	100   	-12.08	34 	-13
9  	100   	-12.5 	-3 	-13
10 	100   	-12.5 	-8 	-13
11 	100   	-12.7 	-8 	-13
12 	100   	-12.6 	-8 	-13
13 	100   	-12.45	-3 	-13
14 	100   	-12.5 	-8 	-13
15 	100   	-12.8 	-3 	-13
16 	100   	-12.75	-8 	-13
17 	100   	-12.45	-8 	-13
18 	100   	-11.88	39 	-13
19 	100   	-12.35	-8 	-13
20 	100   	-12.65	-8 	-13
21 	100   	-12.45	-3 	-13
22 	100   	-12.65	-3 	-13
23 	100   	-12.7 	-8 	-13
24 	100   	-12.15	-3 	-13
25 	100   	-12.7 	-8 	-13
26 	100   	-12.55	-3 	-13
27 	100   	-12.75	-8 	-13
28 	100   	-12.55	-3 	-13
29 	100   	-12.6 	-8 	-13
30 	100   	-12.3 	-3 	-13
31 	100   	-12.45	-8 	-13
32 	100   	-12.7 	-8 	-13
33 	100   	-12.5 	-3 	-13
34 	100   	-12.45	-3 	-13
35 	100   	-12.85	-8 	-13
36 	100   	-12.8 	-8 	-13
37 	100   	-12.7 	-8 	-13
38 	100   	-12.45	-8 	-13
39 	100   	-12.65	-8 	-13
40 	100   	-12.55	-8 	-13
41 	100   	-12.4 	-8 	-13
42 	100   	-12.3 	-3 	-13
43 	100   	-12.3 	-3 	-13
44 	100   	-12.35	-3 	-13
45 	100   	-12.5 	-8 	-13
46 	100   	-12.4 	-3 	-13
47 	100   	-12.8 	-8 	-13
48 	100   	-12.7 	-3 	-13
49 	100   	-12.45	-3 	-13
50 	100   	-12.6 	-8 	-13
51 	100   	-12.55	-8 	-13
52 	100   	-12.75	-8 	-13
53 	100   	-12.45	-3 	-13
54 	100   	-12.5 	-8 	-13
55 	100   	-12.4 	-3 	-13
56 	100   	-12.5 	-3 	-13
57 	100   	-12.35	-3 	-13
58 	100   	-12.6 	-3 	-13
59 	100   	-12.6 	-3 	-13
60 	100   	-12.35	-3 	-13
61 	100   	-11.78	39 	-13
62 	100   	-12.5 	-8 	-13
63 	100   	-12.95	-8 	-13
64 	100   	-12.6 	-3 	-13
65 	100   	-12.8 	-8 	-13
66 	100   	-12.6 	-8 	-13
67 	100   	-12.35	-3 	-13
68 	100   	-12.4 	-3 	-13
69 	100   	-12.7 	-8 	-13
70 	100   	-12.35	-3 	-13
71 	100   	-12.2 	-3 	-13
72 	100   	-12.65	-8 	-13
73 	100   	-12.4 	-3 	-13
74 	100   	-12.55	-3 	-13
75 	100   	-12.25	-3 	-13
76 	100   	-12.08	39 	-13
77 	100   	-12.75	-3 	-13
78 	100   	-12.5 	-8 	-13
79 	100   	-12.7 	-8 	-13
80 	100   	-12.45	-8 	-13
81 	100   	-12.45	-8 	-13
82 	100   	-12.55	-8 	-13
83 	100   	-12.6 	-8 	-13
84 	100   	-12.6 	-3 	-13
85 	100   	-12.45	-3 	-13
86 	100   	-12.75	-8 	-13
87 	100   	-12.4 	-3 	-13
88 	100   	-12.8 	-8 	-13
89 	100   	-12.65	-3 	-13
90 	100   	-12.7 	-8 	-13
91 	100   	-12.25	-3 	-13
92 	100   	-12.55	-8 	-13
93 	100   	-12.3 	-3 	-13
94 	100   	-12.85	-8 	-13
95 	100   	-12.3 	-3 	-13
96 	100   	-12.13	39 	-13
97 	100   	-12.15	-8 	-13
98 	100   	-12.6 	-8 	-13
99 	100   	-12.6 	-8 	-13
100	100   	-12.6 	-8 	-13
101	100   	-12.55	-3 	-13
102	100   	-12.55	-8 	-13
103	100   	-12.55	-8 	-13
104	100   	-12.4 	-3 	-13
105	100   	-12.7 	-3 	-13
106	100   	-12.4 	-8 	-13
107	100   	-12.65	-8 	-13
108	100   	-12.55	-8 	-13
109	100   	-12.55	-8 	-13
110	100   	-12.35	-3 	-13
111	100   	-12.85	-8 	-13
112	100   	-12.7 	-8 	-13
113	100   	-12.5 	-3 	-13
114	100   	-12.55	-8 	-13
115	100   	-12.5 	-8 	-13
116	100   	-12.5 	-3 	-13
117	100   	-12.35	-8 	-13
118	100   	-12.5 	-8 	-13
119	100   	-12.5 	-3 	-13
120	100   	-12.9 	-8 	-13
121	100   	-12.65	-8 	-13
122	100   	-12.7 	-8 	-13
123	100   	-12.45	-3 	-13
124	100   	-12.65	-8 	-13
125	100   	-12.3 	-3 	-13
126	100   	-12.5 	-8 	-13
127	100   	-12.85	-8 	-13
128	100   	-12.55	-8 	-13
129	100   	-12.65	-8 	-13
130	100   	-12.5 	-8 	-13
131	100   	-12.3 	-3 	-13
132	100   	-12.65	-8 	-13
133	100   	-12.75	-8 	-13
134	100   	-12.55	-8 	-13
135	100   	-12.6 	-8 	-13
136	100   	-12.45	-8 	-13
137	100   	-12.55	-3 	-13
138	100   	-12.65	-3 	-13
139	100   	-12.5 	-8 	-13
140	100   	-12.45	-3 	-13
141	100   	-12.7 	-8 	-13
142	100   	-12.55	-3 	-13
143	100   	-12.4 	-3 	-13
144	100   	-12.6 	-3 	-13
145	100   	-12.03	39 	-13
146	100   	-12.65	-8 	-13
147	100   	-12.8 	-3 	-13
148	100   	-12.7 	-8 	-13
149	100   	-11.93	29 	-13
150	100   	-12.3 	-3 	-13
151	100   	-12.75	-8 	-13
152	100   	-12.5 	-8 	-13
153	100   	-12.25	-3 	-13
154	100   	-12.6 	-8 	-13
155	100   	-12.75	-3 	-13
156	100   	-12.35	-8 	-13
157	100   	-12.55	-8 	-13
158	100   	-12.55	-3 	-13
159	100   	-12.35	-3 	-13
160	100   	-12.75	-8 	-13
161	100   	-12.65	-8 	-13
162	100   	-12.5 	-8 	-13
163	100   	-12.65	-8 	-13
164	100   	-12.4 	-3 	-13
165	100   	-12.35	-8 	-13
166	100   	-12.45	-3 	-13
167	100   	-12.5 	-3 	-13
168	100   	-12.5 	-3 	-13
169	100   	-12.7 	-8 	-13
170	100   	-12.55	-3 	-13
171	100   	-12.5 	-8 	-13
172	100   	-12.45	-3 	-13
173	100   	-12.45	-8 	-13
174	100   	-12.55	-8 	-13
175	100   	-12.6 	-8 	-13
176	100   	-12.65	-8 	-13
177	100   	-12.15	-3 	-13
178	100   	-12.5 	-3 	-13
179	100   	-12.7 	-8 	-13
180	100   	-12.65	-3 	-13
181	100   	-12.55	-3 	-13
182	100   	-12.6 	-8 	-13
183	100   	-12.7 	-3 	-13
184	100   	-12.75	-8 	-13
185	100   	-12.6 	-3 	-13
186	100   	-12.6 	-3 	-13
187	100   	-12.7 	-8 	-13
188	100   	-12.65	-8 	-13
189	100   	-12.75	-8 	-13
190	100   	-12.6 	-8 	-13
191	100   	-12.5 	-3 	-13
192	100   	-12.7 	-8 	-13
193	100   	-12.55	-8 	-13
194	100   	-12.65	-3 	-13
195	100   	-12.35	-3 	-13
196	100   	-12.5 	-3 	-13
197	100   	-12.6 	-3 	-13
198	100   	-12.4 	-3 	-13
199	100   	-12.6 	-3 	-13
200	100   	-12.65	-8 	-13
201	100   	-12.55	-8 	-13
202	100   	-12.7 	-8 	-13
203	100   	-12.85	-8 	-13
204	100   	-12.45	-8 	-13
205	100   	-12.75	-8 	-13
206	100   	-12.45	-3 	-13
207	100   	-12.55	-8 	-13
208	100   	-12.55	-3 	-13
209	100   	-12.45	-8 	-13
210	100   	-12.6 	-8 	-13
211	100   	-12.2 	-8 	-13
212	100   	-12.6 	-8 	-13
213	100   	-12.45	-3 	-13
214	100   	-12.15	-3 	-13
215	100   	-12.05	-3 	-13
216	100   	-12.6 	-8 	-13
217	100   	-12.25	-3 	-13
218	100   	-12.55	-3 	-13
219	100   	-12.55	-3 	-13
220	100   	-12.75	-8 	-13
221	100   	-12.5 	-8 	-13
222	100   	-12.65	-3 	-13
223	100   	-12.3 	-3 	-13
224	100   	-12.9 	-8 	-13
225	100   	-12.55	-3 	-13
226	100   	-12.4 	-3 	-13
227	100   	-12.5 	-8 	-13
228	100   	-12.35	-3 	-13
229	100   	-12.55	-8 	-13
230	100   	-12.55	-8 	-13
231	100   	-12.5 	-3 	-13
232	100   	-12.75	-8 	-13
233	100   	-12.35	-3 	-13
234	100   	-12.7 	-8 	-13
235	100   	-12.55	-3 	-13
236	100   	-12.5 	-3 	-13
237	100   	-12.75	-8 	-13
238	100   	-12.4 	-3 	-13
239	100   	-12.65	-8 	-13
240	100   	-12.6 	-8 	-13
241	100   	-12.35	-3 	-13
242	100   	-12.4 	-8 	-13
243	100   	-12.35	-3 	-13
244	100   	-12.5 	-8 	-13
245	100   	-12.85	-8 	-13
246	100   	-12.55	-8 	-13
247	100   	-12.6 	-8 	-13
248	100   	-12.45	-3 	-13
249	100   	-12.55	-3 	-13
250	100   	-12.4 	-3 	-13
251	100   	-12.45	-3 	-13
252	100   	-12.6 	-8 	-13
253	100   	-12.6 	-3 	-13
